subject_id,gender,age,height,weight,chest,waist,hip,thigh,calf,arm,shoulder,image_path,front_image_path,side_image_path,front_camera_number,side_camera_number
F010,F,33,167.1,52.3,86.1,65.7,92.2,54.3,34.5,27.1,36.4,ml/body_measurement/data/raw_test_data/F010_front.jpg,ml/body_measurement/data/raw_test_data/F010_front.jpg,ml/body_measurement/data/raw_test_data/F010_side.jpg,3,12
F013,F,50.0,152.0,74.0,101.9,99.7,105.4,64.4,38.5,32.8,33.8,ml/body_measurement/data/raw_test_data/F013_front.jpg,ml/body_measurement/data/raw_test_data/F013_front.jpg,ml/body_measurement/data/raw_test_data/F013_side.jpg,3,12
F017,F,44,167.6,74.1,105.0,90.4,98.3,58.1,39.5,32.5,37.8,ml/body_measurement/data/raw_test_data/F017_front.jpg,ml/body_measurement/data/raw_test_data/F017_front.jpg,ml/body_measurement/data/raw_test_data/F017_side.jpg,3,12
F020,F,63,153.3,58.5,92.7,80.3,97.4,57.2,34.4,28.9,35.7,ml/body_measurement/data/raw_test_data/F020_front.jpg,ml/body_measurement/data/raw_test_data/F020_front.jpg,ml/body_measurement/data/raw_test_data/F020_side.jpg,3,12
F031,F,39,167.4,59.0,90.6,75.6,95.5,54.8,34.4,26.1,35.8,ml/body_measurement/data/raw_test_data/F031_front.jpg,ml/body_measurement/data/raw_test_data/F031_front.jpg,ml/body_measurement/data/raw_test_data/F031_side.jpg,3,12
F041,F,35,156.9,51.3,83.7,66.0,94.6,54.3,35.0,26.7,33.9,ml/body_measurement/data/raw_test_data/F041_front.jpg,ml/body_measurement/data/raw_test_data/F041_front.jpg,ml/body_measurement/data/raw_test_data/F041_side.jpg,3,12
F043,F,23,153.6,49.8,84.3,68.9,88.0,53.2,34.3,26.8,33.5,ml/body_measurement/data/raw_test_data/F043_front.jpg,ml/body_measurement/data/raw_test_data/F043_front.jpg,ml/body_measurement/data/raw_test_data/F043_side.jpg,3,12
F051,F,49,169.9,64.5,87.7,76.6,100.0,57.6,35.0,30.6,35.2,ml/body_measurement/data/raw_test_data/F051_front.jpg,ml/body_measurement/data/raw_test_data/F051_front.jpg,ml/body_measurement/data/raw_test_data/F051_side.jpg,3,12
F057,F,35,161.6,65.0,90.0,78.4,105.4,63.5,38.5,30.4,35.4,ml/body_measurement/data/raw_test_data/F057_front.jpg,ml/body_measurement/data/raw_test_data/F057_front.jpg,ml/body_measurement/data/raw_test_data/F057_side.jpg,3,12
F061,F,29,166.7,60.2,88.8,73.7,97.0,56.0,34.8,29.8,37.6,ml/body_measurement/data/raw_test_data/F061_front.jpg,ml/body_measurement/data/raw_test_data/F061_front.jpg,ml/body_measurement/data/raw_test_data/F061_side.jpg,3,12
