subject_id,gender,height,weight,chest,waist,hip,thigh,calf,arm,shoulder,bmi,waist_hip_ratio,category,source,image_front,image_side,pred_chest,pred_waist,pred_hip,err_chest,err_waist,err_hip,neck_length,thigh_calf_ratio,torso_leg_ratio
sizkorea_f010,F,167.1,52.3,86.1,65.7,92.2,54.3,34.5,27.1,36.4,18.7,0.713,sizkorea,raw_test_data/F010,sizkorea_f010_front.jpg,sizkorea_f010_side.jpg,81.5,64.0,88.0,-4.6,-1.7,-4.2,8.8,0.84,1.162
sizkorea_f017,F,167.6,74.1,105.0,90.4,98.3,58.1,39.5,32.5,37.8,26.4,0.92,sizkorea,raw_test_data/F017,sizkorea_f017_front.jpg,sizkorea_f017_side.jpg,92.5,83.3,101.7,-12.5,-7.1,3.4,6.9,0.749,1.069
sizkorea_f020,F,153.3,58.5,92.7,80.3,97.4,57.2,34.4,28.9,35.7,24.9,0.824,sizkorea,raw_test_data/F020,sizkorea_f020_front.jpg,sizkorea_f020_side.jpg,86.5,81.0,98.0,-6.2,0.7,0.6,5.3,0.734,1.222
sizkorea_f031,F,167.4,59.0,90.6,75.6,95.5,54.8,34.4,26.1,35.8,21.1,0.792,sizkorea,raw_test_data/F031,sizkorea_f031_front.jpg,sizkorea_f031_side.jpg,83.0,66.0,89.0,-7.6,-9.6,-6.5,9.6,0.707,1.244
sizkorea_f041,F,156.9,51.3,83.7,66.0,94.6,54.3,35.0,26.7,33.9,20.8,0.698,sizkorea,raw_test_data/F041,sizkorea_f041_front.jpg,sizkorea_f041_side.jpg,84.5,66.5,89.0,0.8,0.5,-5.6,8.3,0.705,1.301
sizkorea_f043,F,153.6,49.8,84.3,68.9,88.0,53.2,34.3,26.8,33.5,21.1,0.783,sizkorea,raw_test_data/F043,sizkorea_f043_front.jpg,sizkorea_f043_side.jpg,,,,,,,8.0,0.729,1.188
sizkorea_f051,F,169.9,64.5,87.7,76.6,100.0,57.6,35.0,30.6,35.2,22.3,0.766,sizkorea,raw_test_data/F051,sizkorea_f051_front.jpg,sizkorea_f051_side.jpg,90.0,76.0,97.0,2.3,-0.6,-3.0,7.4,0.724,1.189
sizkorea_f057,F,161.6,65.0,90.0,78.4,105.4,63.5,38.5,30.4,35.4,24.9,0.744,sizkorea,raw_test_data/F057,sizkorea_f057_front.jpg,sizkorea_f057_side.jpg,94.2,81.5,102.5,4.2,3.1,-2.9,8.1,0.743,1.295
sizkorea_f061,F,166.7,60.2,88.8,73.7,97.0,56.0,34.8,29.8,37.6,21.7,0.76,sizkorea,raw_test_data/F061,sizkorea_f061_front.jpg,sizkorea_f061_side.jpg,84.5,68.0,91.0,-4.3,-5.7,-6.0,8.9,0.645,1.262
sizkorea_f063,F,164.5,54.5,85.6,71.7,93.0,56.7,33.0,28.0,37.2,20.1,0.771,sizkorea,raw_test_data/F063,sizkorea_f063_front.jpg,sizkorea_f063_side.jpg,85.5,64.5,89.0,-0.1,-7.2,-4.0,7.6,0.757,1.214
sizkorea_f071,F,166.5,90.1,103.3,89.7,109.2,70.0,44.0,38.0,35.4,32.5,0.821,sizkorea,raw_test_data/F071,sizkorea_f071_front.jpg,sizkorea_f071_side.jpg,109.5,101.5,114.0,6.2,11.8,4.8,5.5,0.716,1.185
sizkorea_f072,F,154.9,55.2,89.7,75.0,93.6,54.0,33.0,29.2,36.8,23.0,0.801,sizkorea,raw_test_data/F072,sizkorea_f072_front.jpg,sizkorea_f072_side.jpg,44.5,39.2,47.0,-45.2,-35.8,-46.6,7.2,0.691,1.245
sizkorea_f073,F,161.7,59.7,80.1,71.0,96.0,59.8,36.8,28.0,35.4,22.8,0.74,sizkorea,raw_test_data/F073,sizkorea_f073_front.jpg,sizkorea_f073_side.jpg,87.0,71.5,94.0,6.9,0.5,-2.0,10.7,0.746,1.303
sizkorea_f075,F,161.6,76.3,105.3,89.1,104.4,63.9,39.5,33.3,37.9,29.2,0.853,sizkorea,raw_test_data/F075,sizkorea_f075_front.jpg,sizkorea_f075_side.jpg,50.0,46.0,54.0,-55.3,-43.1,-50.4,6.1,0.722,1.244
