subject_id,model_no,profile_model_no,gender,age,height,weight,shoulder,chest,waist,hip,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio,crotch_height,knee_height,source_profile,ground_truth_note
sizkorea_f010,F010,F010,F,33.0,167.1,52.3,36.4,86.1,65.7,92.2,33.3,,,,,,,77.8,44.5,ml/body_measurement/data/raw_test_data/F010_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f017,F017,F017,F,44.0,167.6,74.1,37.8,105.0,90.4,98.3,28.800000000000004,,,,,,,72.2,43.4,ml/body_measurement/data/raw_test_data/F017_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f020,F020,F020,F,63.0,153.3,58.5,35.7,92.7,80.3,97.4,25.299999999999997,,,,,,,63.5,38.2,ml/body_measurement/data/raw_test_data/F020_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f031,F031,F031,F,39.0,167.4,59.0,35.8,90.6,75.6,95.5,32.3,,,,,,,75.0,42.7,ml/body_measurement/data/raw_test_data/F031_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f041,F041,F041,F,35.0,156.9,51.3,33.9,83.7,66.0,94.6,27.200000000000003,,,,,,,67.0,39.8,ml/body_measurement/data/raw_test_data/F041_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f043,F043,F043,F,23.0,153.6,49.8,33.5,84.3,68.9,88.0,27.4,,,,,,,65.8,38.4,ml/body_measurement/data/raw_test_data/F043_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f051,F051,F051,F,49.0,169.9,64.5,35.2,87.7,76.6,100.0,30.299999999999997,,,,,,,75.0,44.7,ml/body_measurement/data/raw_test_data/F051_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f057,F057,F057,F,35.0,161.6,65.0,35.4,90.0,78.4,105.4,28.300000000000004,,,,,,,67.7,39.4,ml/body_measurement/data/raw_test_data/F057_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f061,F061,F061,F,29.0,166.7,60.2,37.6,88.8,73.7,97.0,31.799999999999997,,,,,,,75.6,43.8,ml/body_measurement/data/raw_test_data/F061_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f063,F063,F063,F,37.0,164.5,54.5,37.2,85.6,71.7,93.0,30.499999999999993,,,,,,,72.1,41.6,ml/body_measurement/data/raw_test_data/F063_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
