subject_id,gender,height,weight,thigh_length,calf_length,torso_length,leg_length,neck_length,chest,waist,hip,thigh,calf,arm,shoulder,thigh_calf_ratio,torso_leg_ratio
F010,F,165.6,52.3,33.3,43.0,42.2,76.3,7.700000000000003,86.1,65.7,92.2,54.3,34.5,27.1,36.4,0.7744186046511627,0.5530799475753605
F017,F,165.2,74.1,28.799999999999997,41.0,44.5,69.8,8.199999999999989,105.0,90.4,98.3,58.1,39.5,32.5,37.8,0.7024390243902439,0.6375358166189112
F020,F,150.3,58.5,25.299999999999997,35.2,39.0,60.5,9.0,92.7,80.3,97.4,57.2,34.4,28.9,35.7,0.7187499999999999,0.6446280991735537
F031,F,161.1,59.0,32.3,36.400000000000006,42.599999999999994,68.7,9.59999999999998,90.6,75.6,95.5,54.8,34.4,26.1,35.8,0.8873626373626371,0.6200873362445414
F041,F,152.9,51.3,27.200000000000003,35.8,39.80000000000001,63.0,8.699999999999989,83.7,66.0,94.6,54.3,35.0,26.7,33.9,0.7597765363128492,0.6317460317460319
F043,F,151.1,49.8,27.4,35.9,37.599999999999994,63.3,7.099999999999994,84.3,68.9,88.0,53.2,34.3,26.8,33.5,0.7632311977715878,0.593996840442338
F051,F,165.9,64.5,30.299999999999997,40.7,45.3,71.0,8.5,87.7,76.6,100.0,57.6,35.0,30.6,35.2,0.7444717444717444,0.6380281690140844
F057,F,156.1,65.0,28.300000000000004,33.9,46.5,62.2,7.0,90.0,78.4,105.4,63.5,38.5,30.4,35.4,0.8348082595870208,0.747588424437299
F061,F,163.5,60.2,31.799999999999997,40.599999999999994,41.400000000000006,72.39999999999999,8.100000000000009,88.8,73.7,97.0,56.0,34.8,29.8,37.6,0.7832512315270936,0.5718232044198897
F063,F,159.8,54.5,30.499999999999993,36.9,42.3,67.39999999999999,8.800000000000026,85.6,71.7,93.0,56.7,33.0,28.0,37.2,0.8265582655826557,0.6275964391691395
F071,F,164.0,90.1,29.60000000000001,39.3,43.8,68.9,10.399999999999991,103.3,89.7,109.2,70.0,44.0,38.0,35.4,0.7531806615776084,0.6357039187227865
F072,F,151.4,55.2,25.1,36.1,41.10000000000001,61.2,6.799999999999997,89.7,75.0,93.6,54.0,33.0,29.2,36.8,0.6952908587257618,0.6715686274509804
F073,F,157.79999999999998,59.7,31.699999999999996,37.4,44.0,69.1,7.200000000000003,80.1,71.0,96.0,59.8,36.8,28.0,35.4,0.8475935828877005,0.6367583212735167
F075,F,157.6,76.3,29.39999999999999,37.7,43.0,67.1,9.499999999999986,105.3,89.1,104.4,63.9,39.5,33.3,37.9,0.7798408488063657,0.6408345752608048
F090,F,151.7,49.6,30.0,34.0,41.8,64.0,5.3999999999999915,85.0,66.8,90.0,53.0,33.5,26.0,32.3,0.8823529411764706,0.653125
F093,F,169.39999999999998,60.1,33.7,40.900000000000006,44.0,74.60000000000001,7.3999999999999915,83.6,69.4,96.5,55.2,36.8,27.0,37.4,0.823960880195599,0.5898123324396782
F098,F,164.0,46.7,34.0,37.3,43.099999999999994,71.3,5.599999999999994,76.0,59.5,86.5,50.0,31.9,25.0,36.5,0.9115281501340483,0.6044880785413744
F099,F,154.7,71.4,29.299999999999997,36.2,40.599999999999994,65.5,7.399999999999977,101.5,94.4,105.0,61.8,38.5,34.0,35.0,0.80939226519337,0.6198473282442747
F103,F,159.0,76.6,27.800000000000004,36.9,37.599999999999994,64.7,8.0,101.0,90.5,105.5,65.2,37.2,34.0,37.4,0.7533875338753389,0.5811437403400308
F111,F,158.4,59.3,28.900000000000006,36.8,41.900000000000006,65.7,9.500000000000014,88.5,74.4,95.9,57.4,34.3,29.8,37.4,0.785326086956522,0.6377473363774734
F115,F,157.9,56.8,29.099999999999994,36.2,44.2,65.3,6.299999999999997,89.1,69.2,95.0,54.0,36.5,29.3,32.7,0.8038674033149169,0.6768759571209801
F117,F,164.60000000000002,83.1,28.500000000000007,38.699999999999996,42.10000000000001,67.2,10.800000000000011,110.8,98.5,102.2,58.1,38.8,34.2,41.1,0.7364341085271321,0.6264880952380953
F120,F,157.89999999999998,52.5,32.1,37.6,40.3,69.7,5.699999999999989,87.6,68.0,88.6,51.4,33.0,27.7,35.9,0.8537234042553191,0.5781922525107603
F123,F,157.7,65.9,31.700000000000003,34.5,44.39999999999999,66.2,8.399999999999991,94.7,83.5,100.3,61.9,36.5,31.1,33.8,0.918840579710145,0.6706948640483382
F125,F,162.0,59.3,31.699999999999996,38.300000000000004,41.900000000000006,70.0,8.09999999999998,92.1,68.0,97.1,58.9,35.2,30.0,33.9,0.8276762402088771,0.5985714285714286
F128,F,165.3,60.8,30.9,37.6,45.39999999999999,68.5,9.399999999999991,82.8,73.5,96.7,54.0,32.3,29.5,36.4,0.8218085106382979,0.6627737226277371
F145,F,156.0,62.9,29.5,37.7,41.099999999999994,67.2,9.400000000000006,95.6,77.0,100.6,60.7,36.2,30.0,36.6,0.7824933687002652,0.6116071428571428
F148,F,159.8,49.8,32.00000000000001,39.9,42.2,71.9,6.200000000000003,85.0,67.0,89.3,50.5,32.5,24.8,33.0,0.8020050125313285,0.5869262865090403
F153,F,156.1,45.3,29.4,38.6,41.89999999999999,68.0,6.1000000000000085,78.5,66.2,85.3,51.0,33.9,24.7,31.3,0.7616580310880828,0.6161764705882352
F156,F,155.3,59.5,28.6,33.9,40.2,62.5,7.799999999999997,95.2,79.3,92.4,50.7,36.1,30.6,35.1,0.8436578171091447,0.6432
F169,F,153.0,70.3,29.099999999999994,36.0,38.8,65.1,9.5,100.2,86.8,104.0,62.7,39.7,33.8,32.9,0.8083333333333331,0.5960061443932412
F178,F,151.79999999999998,65.8,25.200000000000003,36.2,38.099999999999994,61.400000000000006,12.0,93.5,83.4,96.0,56.4,38.8,35.0,36.4,0.6961325966850829,0.6205211726384363
F187,F,150.8,50.4,28.1,35.1,41.8,63.2,7.099999999999994,86.4,65.9,91.7,56.7,34.5,26.5,32.2,0.8005698005698005,0.6613924050632911
F193,F,155.0,49.1,29.499999999999993,37.1,43.099999999999994,66.6,6.0,79.5,65.3,86.4,52.2,33.1,26.7,34.6,0.7951482479784364,0.6471471471471472
F194,F,167.4,54.0,32.800000000000004,40.4,43.0,73.2,8.099999999999994,82.8,71.0,91.8,50.4,33.5,27.5,36.4,0.811881188118812,0.587431693989071
F199,F,157.9,46.7,30.200000000000003,38.2,40.2,68.4,8.599999999999994,78.4,65.9,89.5,50.0,32.6,24.5,33.9,0.7905759162303665,0.587719298245614
F203,F,155.0,59.6,30.799999999999997,35.400000000000006,40.8,66.2,9.899999999999977,92.2,79.4,94.0,57.5,35.8,29.4,33.3,0.870056497175141,0.6163141993957704
F220,F,159.6,56.5,28.700000000000003,38.2,47.0,66.9,5.400000000000006,83.0,69.9,94.8,54.8,34.7,27.2,32.1,0.7513089005235603,0.70254110612855
F221,F,155.7,48.6,32.5,36.5,41.8,69.0,7.900000000000006,82.0,67.0,89.6,52.8,34.2,26.0,34.8,0.8904109589041096,0.6057971014492753
F223,F,154.2,71.9,26.299999999999997,37.3,37.60000000000001,63.599999999999994,11.099999999999994,109.5,101.2,95.8,52.2,36.5,31.0,36.3,0.7050938337801609,0.5911949685534593
F226,F,160.6,54.7,30.200000000000003,40.0,44.2,70.2,8.999999999999986,87.0,77.5,92.6,49.3,32.5,27.0,33.3,0.7550000000000001,0.6296296296296297
F233,F,152.3,61.8,26.700000000000003,41.099999999999994,39.5,67.8,6.900000000000006,100.5,84.2,91.2,52.4,37.7,29.5,34.6,0.6496350364963506,0.5825958702064897
F234,F,146.2,47.0,29.400000000000006,34.3,37.5,63.7,5.200000000000003,79.6,62.8,91.0,52.0,33.0,25.2,33.0,0.8571428571428574,0.5886970172684458
F241,F,147.6,57.3,27.4,34.9,36.3,62.3,8.700000000000003,91.6,83.8,92.5,55.5,35.4,31.0,30.8,0.7851002865329513,0.5826645264847512
F246,F,154.79999999999998,59.9,27.799999999999997,34.0,41.3,61.8,7.099999999999994,92.3,75.5,98.4,56.8,34.4,28.3,35.8,0.8176470588235293,0.6682847896440129
F251,F,161.70000000000002,49.0,31.4,39.4,43.400000000000006,70.8,6.90000000000002,80.5,63.0,87.5,52.8,34.4,25.4,33.1,0.7969543147208121,0.612994350282486
F259,F,155.0,71.8,26.799999999999997,37.7,39.7,64.5,9.799999999999997,106.6,94.1,100.7,62.5,36.3,32.6,32.4,0.7108753315649866,0.6155038759689923
F265,F,155.3,65.5,29.099999999999994,37.5,41.0,66.6,7.200000000000003,91.0,78.8,100.8,64.0,38.6,32.1,35.2,0.7759999999999998,0.6156156156156156
F268,F,154.6,53.5,29.0,36.0,39.5,65.0,7.400000000000006,82.5,67.5,94.3,56.7,35.0,28.7,31.6,0.8055555555555556,0.6076923076923076
F269,F,159.5,52.4,30.4,37.6,43.2,68.0,5.300000000000011,79.8,60.6,88.9,53.2,34.6,27.4,36.4,0.8085106382978723,0.6352941176470589
F274,F,165.6,53.7,32.900000000000006,42.8,41.599999999999994,75.7,5.0,78.0,69.5,91.5,52.2,34.3,23.7,33.5,0.768691588785047,0.5495376486129457
F275,F,144.1,74.7,24.700000000000003,33.0,34.7,57.7,12.900000000000006,102.5,95.0,106.2,62.9,42.9,36.9,35.1,0.7484848484848485,0.6013864818024264
F282,F,160.9,60.3,28.300000000000004,39.9,40.5,68.2,11.200000000000003,89.0,74.3,94.0,55.5,35.0,27.3,37.0,0.7092731829573936,0.593841642228739
F285,F,162.6,63.0,32.599999999999994,39.0,43.2,71.6,6.800000000000011,94.0,76.6,96.7,58.5,37.8,28.9,36.8,0.8358974358974357,0.6033519553072627
F292,F,163.3,62.4,29.4,36.9,46.599999999999994,66.3,6.500000000000028,91.3,72.7,98.3,53.8,36.0,29.0,35.0,0.7967479674796748,0.702865761689291
F293,F,151.5,57.5,26.0,37.7,37.099999999999994,63.7,9.0,88.3,75.8,93.4,56.4,36.0,29.5,34.8,0.689655172413793,0.5824175824175823
F301,F,153.6,55.9,28.6,39.4,39.599999999999994,68.0,4.199999999999989,87.6,71.9,90.9,54.5,36.2,29.6,30.4,0.7258883248730965,0.5823529411764705
F312,F,153.2,51.4,30.299999999999997,34.8,38.5,65.1,6.1000000000000085,84.5,67.0,87.6,53.5,35.2,25.5,34.5,0.8706896551724138,0.5913978494623656
F313,F,169.6,63.5,32.00000000000001,39.9,43.099999999999994,71.9,11.300000000000011,88.7,76.5,99.4,59.6,33.3,27.7,34.7,0.8020050125313285,0.5994436717663421
F317,F,153.0,55.1,29.099999999999994,36.5,37.3,65.6,7.6000000000000085,88.0,73.0,94.7,54.6,34.1,27.2,35.5,0.7972602739726026,0.5685975609756098
F319,F,161.7,55.7,29.4,43.4,39.0,72.8,7.799999999999983,88.2,72.3,90.5,49.8,31.8,25.7,33.6,0.6774193548387096,0.5357142857142857
F342,F,150.6,56.9,25.700000000000003,34.7,36.900000000000006,60.400000000000006,8.600000000000009,89.5,74.2,94.0,55.0,36.8,30.2,33.0,0.7406340057636888,0.6109271523178809
F343,F,157.7,62.8,27.700000000000003,39.7,36.30000000000001,67.4,8.09999999999998,91.9,79.2,94.6,57.6,36.7,30.7,34.6,0.6977329974811083,0.5385756676557865
F345,F,164.89999999999998,60.0,33.400000000000006,36.2,42.599999999999994,69.60000000000001,7.700000000000003,88.0,71.0,94.4,56.8,34.0,27.5,35.0,0.9226519337016575,0.6120689655172412
F346,F,157.89999999999998,56.9,29.900000000000006,35.2,42.7,65.10000000000001,6.59999999999998,77.8,66.0,94.9,56.0,35.3,28.0,33.1,0.8494318181818182,0.6559139784946236
F349,F,164.5,58.5,31.799999999999997,42.2,41.599999999999994,74.0,6.1000000000000085,86.4,69.6,92.6,53.8,36.5,29.8,33.4,0.7535545023696681,0.5621621621621621
F352,F,156.7,58.9,28.699999999999996,38.1,37.5,66.8,8.900000000000006,92.8,75.0,92.1,54.3,36.5,30.0,33.4,0.7532808398950129,0.561377245508982
F354,F,149.8,79.5,26.599999999999994,34.7,33.099999999999994,61.3,12.199999999999989,108.5,101.3,112.0,63.3,39.5,36.5,34.4,0.7665706051873197,0.5399673735725937
F355,F,163.8,53.0,34.8,41.8,34.599999999999994,76.6,9.200000000000017,79.8,69.2,92.0,53.0,33.8,25.0,34.1,0.8325358851674641,0.4516971279373368
F357,F,161.2,55.1,30.200000000000003,39.3,40.3,69.5,9.299999999999997,81.5,67.9,89.6,56.0,35.1,27.9,35.0,0.7684478371501273,0.5798561151079137
F364,F,158.7,59.5,27.700000000000003,36.5,43.400000000000006,64.2,8.0,85.5,73.7,95.4,55.4,35.7,29.5,34.6,0.7589041095890412,0.6760124610591901
F365,F,154.2,63.0,28.800000000000004,35.9,36.5,64.7,8.400000000000006,90.9,78.4,100.0,57.8,37.2,30.9,34.6,0.8022284122562675,0.5641421947449768
F368,F,150.3,50.9,28.599999999999994,33.5,38.0,62.099999999999994,7.3999999999999915,81.7,66.8,89.5,55.1,33.8,27.7,34.5,0.8537313432835819,0.6119162640901772
F369,F,161.5,55.0,32.7,38.2,40.099999999999994,70.9,9.399999999999991,84.4,65.9,92.7,52.8,34.4,27.2,34.7,0.856020942408377,0.5655853314527503
F374,F,155.4,54.1,28.89999999999999,34.7,41.3,63.599999999999994,8.399999999999991,82.5,68.6,94.8,53.5,32.7,26.5,34.5,0.8328530259365992,0.64937106918239
F376,F,162.6,70.1,30.799999999999997,38.3,37.8,69.1,12.799999999999997,97.0,83.5,98.5,57.8,36.8,32.3,38.1,0.804177545691906,0.5470332850940666
F385,F,156.2,64.7,26.9,38.1,38.400000000000006,65.0,11.199999999999974,93.7,78.6,99.1,59.0,37.5,30.4,34.0,0.706036745406824,0.5907692307692308
F394,F,159.9,57.6,30.799999999999997,37.7,40.0,68.5,8.100000000000009,83.6,70.6,95.5,57.0,35.3,26.7,36.9,0.8169761273209548,0.583941605839416
F396,F,156.29999999999998,53.6,27.799999999999997,37.2,36.900000000000006,65.0,10.199999999999989,84.3,71.4,88.2,51.8,34.8,27.4,34.2,0.7473118279569891,0.5676923076923078
F398,F,151.4,52.1,29.0,36.8,35.89999999999999,65.8,9.0,88.4,71.0,89.6,53.6,33.2,27.7,35.5,0.7880434782608696,0.5455927051671732
F405,F,135.2,54.5,30.599999999999994,16.5,38.900000000000006,47.099999999999994,7.599999999999994,89.0,68.7,94.6,57.4,33.5,27.8,33.8,1.8545454545454543,0.8259023354564758
F408,F,159.4,56.3,30.799999999999997,38.8,43.2,69.6,8.100000000000009,85.3,71.0,95.2,51.0,33.3,29.0,34.5,0.7938144329896907,0.6206896551724139
M012,M,173.9,78.4,26.999999999999993,44.1,50.2,71.1,8.199999999999989,92.3,82.1,100.4,60.9,39.5,32.4,38.6,0.6122448979591835,0.7060478199718707
M018,M,171.6,68.7,27.5,42.7,46.5,70.2,8.300000000000011,84.1,79.7,95.8,58.1,37.7,30.3,39.4,0.6440281030444964,0.6623931623931624
M019,M,160.4,65.4,31.900000000000006,35.0,42.7,66.9,8.100000000000009,91.1,82.2,90.6,50.1,35.0,30.8,38.9,0.9114285714285716,0.6382660687593423
M021,M,164.8,56.4,31.699999999999996,38.1,45.89999999999999,69.8,5.5,85.6,82.7,87.3,45.8,33.9,26.7,37.6,0.832020997375328,0.657593123209169
M023,M,168.5,56.3,31.099999999999994,43.400000000000006,44.5,74.5,8.199999999999974,83.0,70.1,86.6,47.0,34.8,26.9,37.1,0.7165898617511518,0.5973154362416108
M025,M,163.3,85.5,26.699999999999996,39.4,42.69999999999999,66.1,8.200000000000017,98.3,98.2,104.6,65.7,42.1,36.2,40.4,0.6776649746192892,0.6459909228441754
M030,M,166.3,76.9,26.000000000000007,38.9,47.400000000000006,64.9,8.0,96.1,82.6,99.0,93.7,39.0,35.3,41.9,0.6683804627249359,0.7303543913713405
