subject_id,gender,height,weight,thigh,calf,arm,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
sizkorea_f010,F,167.1,52.3,54.3,34.5,27.1,33.3,,,,,,
sizkorea_f017,F,167.6,74.1,58.1,39.5,32.5,28.800000000000004,,,,,,
sizkorea_f020,F,153.3,58.5,57.2,34.4,28.9,25.3,,,,,,
sizkorea_f031,F,167.4,59.0,54.8,34.4,26.1,32.3,,,,,,
sizkorea_f041,F,156.9,51.3,54.3,35.0,26.7,27.200000000000003,,,,,,
sizkorea_f043,F,153.6,49.8,53.2,34.3,26.8,27.4,,,,,,
sizkorea_f051,F,169.9,64.5,57.6,35.0,30.6,30.3,,,,,,
sizkorea_f057,F,161.6,65.0,63.5,38.5,30.4,28.300000000000004,,,,,,
sizkorea_f061,F,166.7,60.2,56.0,34.8,29.8,31.8,,,,,,
sizkorea_f063,F,164.5,54.5,56.7,33.0,28.0,30.499999999999996,,,,,,
sizkorea_f071,F,166.5,90.1,70.0,44.0,38.0,29.60000000000001,,,,,,
sizkorea_f072,F,154.9,55.2,54.0,33.0,29.2,25.1,,,,,,
sizkorea_f073,F,161.7,59.7,59.8,36.8,28.0,31.700000000000003,,,,,,
sizkorea_f075,F,161.6,76.3,63.9,39.5,33.3,29.39999999999999,,,,,,
sizkorea_f090,F,157.2,49.6,53.0,33.5,26.0,30.0,,,,,,
sizkorea_f093,F,172.2,60.1,55.2,36.8,27.0,33.7,,,,,,
sizkorea_f098,F,169.0,46.7,50.0,31.9,25.0,34.0,,,,,,
sizkorea_f099,F,158.5,71.4,61.8,38.5,34.0,29.3,,,,,,
sizkorea_f103,F,162.5,76.6,65.2,37.2,34.0,27.800000000000004,,,,,,
sizkorea_f111,F,164.1,59.3,57.4,34.3,29.8,28.90000000000001,,,,,,
sizkorea_f115,F,161.4,56.8,54.0,36.5,29.3,29.099999999999994,,,,,,
sizkorea_f117,F,169.3,83.1,58.1,38.8,34.2,28.500000000000007,,,,,,
sizkorea_f120,F,160.7,52.5,51.4,33.0,27.7,32.1,,,,,,
sizkorea_f123,F,163.0,65.9,61.9,36.5,31.1,31.700000000000003,,,,,,
sizkorea_f125,F,167.3,59.3,58.9,35.2,30.0,31.7,,,,,,
sizkorea_f128,F,169.3,60.8,54.0,32.3,29.5,30.9,,,,,,
sizkorea_f145,F,160.5,62.9,60.7,36.2,30.0,29.5,,,,,,
sizkorea_f148,F,162.3,49.8,50.5,32.5,24.8,32.00000000000001,,,,,,
sizkorea_f153,F,158.1,45.3,51.0,33.9,24.7,29.4,,,,,,
sizkorea_f156,F,158.8,59.5,50.7,36.1,30.6,28.6,,,,,,
sizkorea_f169,F,157.0,70.3,62.7,39.7,33.8,29.099999999999994,,,,,,
sizkorea_f178,F,156.1,65.8,56.4,38.8,35.0,25.200000000000003,,,,,,
sizkorea_f187,F,154.3,50.4,56.7,34.5,26.5,28.1,,,,,,
sizkorea_f193,F,158.9,49.1,52.2,33.1,26.7,29.5,,,,,,
sizkorea_f194,F,170.4,54.0,50.4,33.5,27.5,32.800000000000004,,,,,,
sizkorea_f199,F,161.4,46.7,50.0,32.6,24.5,30.200000000000003,,,,,,
sizkorea_f203,F,160.3,59.6,57.5,35.8,29.4,30.8,,,,,,
sizkorea_f220,F,164.6,56.5,54.8,34.7,27.2,28.700000000000003,,,,,,
sizkorea_f221,F,161.2,48.6,52.8,34.2,26.0,32.5,,,,,,
sizkorea_f223,F,158.7,71.9,52.2,36.5,31.0,26.3,,,,,,
sizkorea_f226,F,162.9,54.7,49.3,32.5,27.0,30.200000000000003,,,,,,
sizkorea_f233,F,155.0,61.8,52.4,37.7,29.5,26.700000000000003,,,,,,
sizkorea_f234,F,152.2,47.0,52.0,33.0,25.2,29.40000000000001,,,,,,
