source_row_id,subject_id,gender,height,weight,shoulder,chest,waist,hip,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
2226,8_SM_002227,F,160.7,108.9,37.72,123.3,111.0,113.9,26.35,36.510000000000005,46.2,62.2,6.039999999999987,0.7217200766913174,0.7427652733118971
3393,8_SM_003394,M,168.9,98.5,41.58,116.0,116.1,106.4,26.729999999999997,39.13,46.3,65.2,4.75,0.6831075900843342,0.710122699386503
100,8_SM_000101,F,165.9,54.4,35.0,83.0,75.2,91.6,33.19,37.87,44.5,70.0,6.1299999999999955,0.876419329284394,0.6357142857142857
12,8_SM_000013,F,163.0,55.6,35.55,88.2,74.5,94.8,31.120000000000005,36.507,44.2,67.1,5.8700000000000045,0.8524392582244503,0.6587183308494785
2474,8_SM_002475,F,160.0,59.3,36.14,92.5,78.8,95.1,30.82,37.92,41.4,67.9,5.969999999999982,0.8127637130801687,0.609720176730486
1527,8_SM_001528,F,170.3,61.1,37.68,89.5,78.0,94.9,30.609999999999996,40.83,44.2,71.6,8.539999999999987,0.7496938525593926,0.61731843575419
1004,8_SM_001005,F,169.3,65.2,37.22,88.9,74.9,100.8,32.669999999999995,36.77,49.5,67.7,8.239999999999986,0.888496056567854,0.7311669128508124
176,8_SM_000177,F,174.2,52.1,37.08,79.5,74.6,88.2,36.48,38.96900000000001,48.3,75.0,6.959999999999991,0.9361287176986833,0.644
3341,8_SM_003342,M,175.6,94.4,39.33,102.8,104.8,107.5,30.54,42.8,50.8,71.8,8.490000000000009,0.7135514018691589,0.7075208913649025
2675,8_SM_002676,M,167.7,63.6,36.97,92.4,76.2,92.5,32.11,40.67,46.4,70.3,4.659999999999991,0.7895254487337103,0.6600284495021337
1578,8_SM_001579,F,156.9,52.9,33.58,80.3,70.2,92.2,30.35,34.13,44.8,64.3,5.939999999999986,0.889246996777029,0.6967340590979783
219,8_SM_000220,F,157.9,48.6,31.96,82.5,70.9,87.4,30.49,35.94,44.7,64.1,5.8799999999999955,0.8483583750695604,0.6973478939157567
979,8_SM_000980,F,163.9,53.9,38.230000000000004,81.8,67.1,92.8,33.709999999999994,36.13,47.0,67.9,8.059999999999992,0.933019651259341,0.6921944035346097
1854,8_SM_001855,F,155.0,57.5,36.05,84.9,78.4,97.0,31.329999999999995,32.18,43.3,63.1,8.429999999999996,0.9735860783095088,0.6862123613312202
3282,8_SM_003283,M,169.1,77.6,37.45,94.6,87.9,99.3,30.249999999999993,40.120000000000005,44.4,71.6,7.45,0.7539880358923228,0.6201117318435755
2444,8_SM_002445,F,159.2,59.4,34.4,89.7,76.1,96.1,29.4,36.379999999999995,43.2,65.7,6.469999999999982,0.8081363386476086,0.6575342465753424
699,8_SM_000700,F,162.8,54.8,32.89,82.6,73.7,96.4,31.46999999999999,36.0,46.4,66.1,6.059999999999991,0.8741666666666664,0.7019667170953102
573,8_SM_000574,F,153.8,47.1,30.78,81.7,75.3,87.9,30.860000000000003,33.14,39.7,63.6,6.409999999999991,0.9312009656004828,0.6242138364779874
3402,8_SM_003403,M,178.4,68.4,44.31,91.3,77.0,93.6,32.10000000000001,39.95,46.0,71.5,10.759999999999991,0.8035043804755947,0.6433566433566433
1659,8_SM_001660,F,158.7,63.5,35.36,91.3,75.2,98.2,30.830000000000005,36.07,43.7,65.7,7.310000000000014,0.8547269198780151,0.665144596651446
2247,8_SM_002248,F,159.1,69.8,37.53,107.5,89.3,100.5,28.43,34.32000000000001,45.6,61.7,6.070000000000005,0.8283799533799532,0.7390599675850892
1048,8_SM_001049,F,167.4,52.7,35.12,80.0,65.3,90.8,33.34,38.61,45.3,71.3,6.659999999999991,0.8635068635068636,0.635343618513324
3759,8_SM_003760,M,173.8,74.7,38.87,95.8,83.8,98.2,31.47,40.88,48.2,72.9,7.110000000000014,0.7698140900195694,0.6611796982167353
1303,8_SM_001304,F,159.6,48.4,34.53,81.0,71.8,90.9,32.230000000000004,35.72,45.4,67.0,8.479999999999995,0.9022956326987683,0.6776119402985075
3118,8_SM_003119,M,182.1,82.2,40.04,96.9,85.9,102.6,33.720000000000006,43.11,49.6,76.2,9.110000000000014,0.7821851078636048,0.6509186351706037
3554,8_SM_003555,M,178.8,87.1,40.0,98.7,88.0,104.2,30.879999999999995,43.58,47.7,73.1,6.289999999999987,0.7085819183111518,0.6525307797537621
1441,8_SM_001442,F,154.3,50.8,33.2,83.7,73.4,88.0,28.95,36.55,41.2,63.8,5.229999999999995,0.7920656634746922,0.64576802507837
