subject_id,gender,height_mm,weight_kg,shoulder_mm,chest_mm,waist_mm,hip_mm,jaw_height_mm,front_neck_height_mm,crotch_height_mm,knee_height_mm,ankle_height_mm,torso_shoulder_height_mm,pelvis_point_height_mm,leg_crotch_height_mm,leg_ankle_height_mm
8_SM_000001,F,1657,55.5,366.6,848.0,764,906,1427.3,1350.1,749.5,452.5,66.9,1332.0,889,739,61
8_SM_000002,F,1672,60.0,367.9,862.0,759,949,1430.7,1355.9,783.5,450.9,66.3,1347.0,926,762,65
8_SM_000003,F,1578,47.5,340.7,801.0,637,900,1353.1,1289.3,727.0,428.8,64.9,1263.0,831,701,57
8_SM_000004,F,1573,50.4,313.1,797.0,674,951,1350.7,1294.8,732.4,430.7,57.5,1284.0,861,716,58
8_SM_000005,F,1648,57.1,359.9,822.0,686,950,1422.6,1334.8,749.4,433.6,66.5,1335.0,878,738,66
8_SM_000006,F,1591,51.5,351.2,805.0,701,920,1356.9,1278.7,703.9,406.3,60.4,1242.0,849,696,57
8_SM_000007,F,1681,49.3,367.5,810.0,675,886,1440.3,1364.5,751.9,442.1,59.2,1347.0,901,765,61
8_SM_000008,F,1550,49.1,333.6,826.0,714,895,1316.2,1257.7,722.1,407.3,66.4,1241.0,822,693,60
8_SM_000009,F,1630,65.1,368.7,895.0,845,1002,1291.4,1222.5,640.2,379.7,58.9,1319.0,888,739,66
8_SM_000010,F,1619,67.0,351.1,938.0,771,1032,1367.0,1312.8,732.4,422.6,64.6,1298.0,866,725,63
8_SM_000011,F,1524,66.2,359.5,964.0,875,1029,1290.7,1220.8,639.2,381.1,56.0,1224.0,767,631,58
8_SM_000012,F,1631,50.2,347.6,830.0,654,905,1394.8,1308.0,725.8,424.0,65.9,1309.0,842,720,63
8_SM_000013,F,1630,55.6,355.5,882.0,745,948,1393.2,1334.5,743.2,432.0,66.93,1309.0,867,736,65
8_SM_000014,F,1654,45.5,348.0,813.0,614,860,1413.9,1347.3,753.7,434.1,61.9,1325.0,865,730,63
8_SM_000015,F,1580,51.9,371.2,805.0,732,925,1342.5,1272.4,726.4,409.4,58.4,1281.0,844,713,55
8_SM_000016,F,1602,60.5,352.9,920.0,743,958,1350.7,1294.6,731.8,430.7,64.2,1298.0,857,720,62
8_SM_000017,F,1625,51.6,339.6,815.0,667,900,1384.2,1325.2,747.6,427.9,61.6,1316.0,857,725,66
8_SM_000018,F,1664,47.8,351.1,777.0,635,865,1431.7,1346.9,768.9,426.6,68.1,1326.0,890,753,67
8_SM_000019,F,1591,46.8,353.0,802.0,677,867,1353.1,1293.8,755.5,435.5,65.4,1273.0,857,733,60
8_SM_000020,F,1670,55.3,347.2,811.0,716,914,1436.4,1377.5,765.2,437.2,60.9,1360.0,884,750,61
8_SM_000021,F,1653,56.9,396.4,805.0,740,946,1419.7,1342.0,765.8,435.6,63.0,1302.0,896,742,63
8_SM_000022,F,1665,71.1,374.0,1018.0,838,1010,1437.4,1364.5,765.8,446.5,69.9,1337.0,902,756,65
8_SM_000023,F,1616,45.1,361.5,750.0,675,880,1383.7,1320.9,770.7,445.1,61.7,1299.0,877,750,60
8_SM_000024,F,1659,50.9,339.4,779.0,669,906,1430.5,1362.4,761.6,449.0,61.7,1347.0,909,747,64
8_SM_000025,F,1583,44.6,339.8,727.0,652,860,1339.7,1282.6,721.5,410.6,68.0,1257.0,820,705,61
8_SM_000026,F,1758,61.9,365.7,820.0,687,990,1519.8,1451.7,780.4,461.1,62.0,1426.0,950,783,66
8_SM_000027,F,1644,55.0,352.3,900.0,725,892,1397.6,1344.1,742.2,439.4,60.1,1312.0,854,737,62
8_SM_000028,F,1574,50.0,333.9,825.0,705,892,1341.1,1286.4,734.9,415.9,61.0,1259.0,825,704,60
8_SM_000029,F,1624,54.7,357.0,798.0,707,959,1382.3,1324.3,729.4,416.4,72.9,1305.0,837,717,65
8_SM_000030,F,1565,45.9,321.0,780.0,715,900,1330.3,1268.2,731.8,435.0,64.5,1269.0,843,703,59
8_SM_000031,F,1564,51.9,370.1,869.0,702,947,1355.0,1263.1,703.3,400.5,62.6,1242.0,828,677,58
8_SM_000032,F,1620,48.4,357.0,827.0,639,885,1389.0,1320.7,752.5,436.0,59.0,1318.0,888,736,57
8_SM_000033,F,1706,71.4,377.9,998.0,882,1053,1464.7,1407.6,814.4,479.3,67.6,1370.0,966,804,68
8_SM_000034,F,1633,56.0,333.3,880.0,779,929,1400.9,1326.1,749.4,424.0,62.9,1325.0,872,742,61
8_SM_000035,F,1597,50.9,346.2,789.0,655,936,1351.9,1306.8,721.5,408.5,62.1,1281.0,835,704,66
8_SM_000036,F,1624,49.7,338.5,782.0,644,918,1393.3,1331.0,776.8,444.6,62.2,1308.0,897,754,63
8_SM_000037,F,1604,52.5,365.4,826.0,695,905,1353.3,1316.8,743.8,418.0,62.1,1277.0,855,727,60
8_SM_000038,F,1596,51.2,359.3,848.0,734,914,1360.3,1299.4,681.5,408.0,60.6,1293.0,817,694,58
8_SM_000039,F,1611,53.6,356.4,837.0,732,900,1367.9,1285.9,710.0,402.9,58.89,1290.0,833,693,56
8_SM_000040,F,1603,56.0,348.9,892.0,756,961,1357.8,1312.1,729.3,417.7,61.8,1293.0,849,717,60
8_SM_000041,F,1664,61.3,376.0,935.0,790,950,1417.3,1364.6,804.1,454.0,71.9,1356.0,927,791,70
8_SM_000042,F,1641,57.2,370.5,843.0,723,965,1409.1,1348.7,754.9,424.0,67.1,1337.0,855,726,63
8_SM_000043,F,1650,64.0,378.2,937.0,766,1022,1407.7,1352.5,751.8,433.6,59.6,1337.0,888,740,64
8_SM_000044,F,1633,53.7,355.7,864.0,750,930,1398.1,1329.5,754.1,426.9,68.3,1309.0,876,731,66
8_SM_000045,F,1733,67.3,372.0,975.0,780,977,1496.8,1423.4,822.3,472.9,70.3,1411.0,945,800,69
8_SM_000046,F,1601,48.2,327.9,768.0,670,885,1379.4,1318.5,744.0,436.1,51.4,1298.0,866,722,67
8_SM_000047,F,1628,49.9,370.7,817.0,675,888,1396.7,1328.1,771.3,439.0,61.2,1297.0,885,752,63
8_SM_000048,F,1577,56.4,362.9,860.0,742,944,1342.5,1278.7,706.3,396.2,65.2,1235.0,823,695,62
8_SM_000049,F,1661,60.9,356.9,855.0,746,975,1430.2,1367.9,643.4,441.8,72.2,1336.0,883,760,73
8_SM_000050,F,1575,63.8,361.8,929.0,795,990,1352.6,1304.1,748.8,422.0,65.1,1283.0,864,724,68
